"Ef_arr", "Gtot"
-1.00000000000000e+00 1.13918767618435e-07
-9.79797979797980e-01 1.08225666443209e-07
-9.59595959595960e-01 1.04037020518470e-07
-9.39393939393939e-01 1.01475928337125e-07
-9.19191919191919e-01 1.00862233574712e-07
-8.98989898989899e-01 1.02860627113956e-07
-8.78787878787879e-01 1.08715479370163e-07
-8.58585858585859e-01 1.20639877500410e-07
-8.38383838383838e-01 1.42442817406763e-07
-8.18181818181818e-01 1.80372513410762e-07
-7.97979797979798e-01 2.43595289762260e-07
-7.77777777777778e-01 3.42011414923341e-07
-7.57575757575758e-01 4.76148316927340e-07
-7.37373737373737e-01 6.16100942477880e-07
-7.17171717171717e-01 6.91612827269884e-07
-6.96969696969697e-01 6.41666650704968e-07
-6.76767676767677e-01 4.89159770056717e-07
-6.56565656565657e-01 3.17174369050665e-07
-6.36363636363636e-01 1.84012429321833e-07
-6.16161616161616e-01 9.98883664507842e-08
-5.95959595959596e-01 5.23262479565326e-08
-5.75757575757576e-01 2.69453457746896e-08
-5.55555555555556e-01 1.37765147036828e-08
-5.35353535353535e-01 7.02870625969454e-09
-5.15151515151515e-01 3.58807521903331e-09
-4.94949494949495e-01 1.83610828586191e-09
-4.74747474747475e-01 9.42914996399965e-10
-4.54545454545454e-01 4.85319798938486e-10
-4.34343434343434e-01 2.48705494089714e-10
-4.14141414141414e-01 1.25352240705840e-10
-3.93939393939394e-01 6.14751872106515e-11
-3.73737373737374e-01 2.93082816061988e-11
-3.53535353535353e-01 1.36883348525545e-11
-3.33333333333333e-01 6.32781452388140e-12
-3.13131313131313e-01 2.93681314226643e-12
-2.92929292929293e-01 1.42556905302466e-12
-2.72727272727273e-01 8.35915812743709e-13
-2.52525252525252e-01 7.89342189116430e-13
-2.32323232323232e-01 1.25669011651690e-12
-2.12121212121212e-01 2.54266891335250e-12
-1.91919191919192e-01 5.48510168526139e-12
-1.71717171717172e-01 1.20008787458193e-11
-1.51515151515151e-01 2.63346966804406e-11
-1.31313131313131e-01 5.78239193185225e-11
-1.11111111111111e-01 1.26979465831254e-10
-9.09090909090908e-02 2.78837781970688e-10
-7.07070707070706e-02 6.12251126183056e-10
-5.05050505050504e-02 1.34404768810494e-09
-3.03030303030303e-02 2.94913725222616e-09
-1.01010101010101e-02 6.46437182423150e-09
1.01010101010102e-02 1.41376184694879e-08
3.03030303030305e-02 3.07675418185248e-08
5.05050505050506e-02 6.62562790142096e-08
7.07070707070707e-02 1.39561473426713e-07
9.09090909090911e-02 2.81334004782129e-07
1.11111111111111e-01 5.23928966238128e-07
1.31313131313131e-01 8.64322797793936e-07
1.51515151515152e-01 1.23085333419418e-06
1.71717171717172e-01 1.52936439209943e-06
1.91919191919192e-01 1.72271450837174e-06
2.12121212121212e-01 1.83084782893469e-06
2.32323232323232e-01 1.88667605141781e-06
2.52525252525253e-01 1.91423410659597e-06
2.72727272727273e-01 1.92752126988947e-06
2.92929292929293e-01 1.93388342102130e-06
3.13131313131313e-01 1.93692046372249e-06
3.33333333333333e-01 1.93837156827771e-06
3.53535353535354e-01 1.93907612982517e-06
3.73737373737374e-01 1.93942347776771e-06
3.93939393939394e-01 1.93959625480379e-06
4.14141414141414e-01 1.93968625689440e-06
4.34343434343434e-01 1.93973601147555e-06
4.54545454545455e-01 1.93976368325585e-06
4.74747474747475e-01 1.93977980066757e-06
4.94949494949495e-01 1.93979037871350e-06
5.15151515151515e-01 1.93979733027599e-06
5.35353535353535e-01 1.93980178044198e-06
5.55555555555556e-01 1.93980512317400e-06
5.75757575757576e-01 1.93980780213554e-06
5.95959595959596e-01 1.93980968298071e-06
6.16161616161616e-01 1.93981104592220e-06
6.36363636363636e-01 1.93981220935871e-06
6.56565656565657e-01 1.93981311190875e-06
6.76767676767677e-01 1.93981374223546e-06
6.96969696969697e-01 1.93981428471593e-06
7.17171717171717e-01 1.93981478169719e-06
7.37373737373737e-01 1.93981515173554e-06
7.57575757575758e-01 1.93981542847694e-06
7.77777777777778e-01 1.93981568320086e-06
7.97979797979798e-01 1.93981589317738e-06
8.18181818181818e-01 1.93981604152945e-06
8.38383838383838e-01 1.93981617325814e-06
8.58585858585859e-01 1.93981630193638e-06
8.78787878787879e-01 1.93981640092490e-06
8.98989898989899e-01 1.93981647530310e-06
9.19191919191919e-01 1.93981654623296e-06
9.39393939393939e-01 1.93981660690706e-06
9.59595959595960e-01 1.93981665011516e-06
9.79797979797980e-01 1.93981668906401e-06
1.00000000000000e+00 1.93981672821109e-06
