"Ef_arr", "Gtot"
-1.00000000000000e+00 1.93981695036700e-06
-9.79797979797980e-01 1.93981695036572e-06
-9.59595959595960e-01 1.93981695036304e-06
-9.39393939393939e-01 1.93981695035730e-06
-9.19191919191919e-01 1.93981695034489e-06
-8.98989898989899e-01 1.93981695031784e-06
-8.78787878787879e-01 1.93981695025869e-06
-8.58585858585859e-01 1.93981695012904e-06
-8.38383838383838e-01 1.93981694984464e-06
-8.18181818181818e-01 1.93981694922041e-06
-7.97979797979798e-01 1.93981694784995e-06
-7.77777777777778e-01 1.93981694484070e-06
-7.57575757575758e-01 1.93981693823252e-06
-7.37373737373737e-01 1.93981692372074e-06
-7.17171717171717e-01 1.93981689185172e-06
-6.96969696969697e-01 1.93981682186415e-06
-6.76767676767677e-01 1.93981666816367e-06
-6.56565656565657e-01 1.93981633061950e-06
-6.36363636363636e-01 1.93981558933233e-06
-6.16161616161616e-01 1.93981396137753e-06
-5.95959595959596e-01 1.93981038619910e-06
-5.75757575757576e-01 1.93980253471464e-06
-5.55555555555556e-01 1.93978529211308e-06
-5.35353535353535e-01 1.93974742631890e-06
-5.15151515151515e-01 1.93966427358898e-06
-4.94949494949495e-01 1.93948168511581e-06
-4.74747474747475e-01 1.93908081967217e-06
-4.54545454545454e-01 1.93820105455592e-06
-4.34343434343434e-01 1.93627179770069e-06
-4.14141414141414e-01 1.93204844239816e-06
-3.93939393939394e-01 1.92283816747737e-06
-3.73737373737374e-01 1.90291803619865e-06
-3.53535353535353e-01 1.86059515895505e-06
-3.33333333333333e-01 1.77398025324992e-06
-3.13131313131313e-01 1.60954721819442e-06
-2.92929292929293e-01 1.33757621138372e-06
-2.72727272727273e-01 9.75920927735766e-07
-2.52525252525252e-01 6.12588132364663e-07
-2.32323232323232e-01 3.37125067277781e-07
-2.12121212121212e-01 1.69640147931878e-07
-1.91919191919192e-01 8.11300678336049e-08
-1.71717171717172e-01 3.78086056097134e-08
-1.51515151515151e-01 1.74019922607559e-08
-1.31313131313131e-01 7.96332917069202e-09
-1.11111111111111e-01 3.63476258319153e-09
-9.09090909090908e-02 1.65788772092855e-09
-7.07070707070706e-02 7.57697521515059e-10
-5.05050505050504e-02 3.50423161227998e-10
-3.03030303030303e-02 1.71293612378788e-10
-1.01010101010101e-02 1.03726415146264e-10
1.01010101010102e-02 1.03726415146178e-10
3.03030303030305e-02 1.71293612378857e-10
5.05050505050506e-02 3.50423161228068e-10
7.07070707070707e-02 7.57697521514945e-10
9.09090909090911e-02 1.65788772092848e-09
1.11111111111111e-01 3.63476258319133e-09
1.31313131313131e-01 7.96332917069204e-09
1.51515151515152e-01 1.74019922607562e-08
1.71717171717172e-01 3.78086056097137e-08
1.91919191919192e-01 8.11300678336051e-08
2.12121212121212e-01 1.69640147931879e-07
2.32323232323232e-01 3.37125067277783e-07
2.52525252525253e-01 6.12588132364663e-07
2.72727272727273e-01 9.75920927735769e-07
2.92929292929293e-01 1.33757621138373e-06
3.13131313131313e-01 1.60954721819442e-06
3.33333333333333e-01 1.77398025324992e-06
3.53535353535354e-01 1.86059515895505e-06
3.73737373737374e-01 1.90291803619865e-06
3.93939393939394e-01 1.92283816747737e-06
4.14141414141414e-01 1.93204844239816e-06
4.34343434343434e-01 1.93627179770069e-06
4.54545454545455e-01 1.93820105455593e-06
4.74747474747475e-01 1.93908081967217e-06
4.94949494949495e-01 1.93948168511581e-06
5.15151515151515e-01 1.93966427358898e-06
5.35353535353535e-01 1.93974742631890e-06
5.55555555555556e-01 1.93978529211308e-06
5.75757575757576e-01 1.93980253471464e-06
5.95959595959596e-01 1.93981038619910e-06
6.16161616161616e-01 1.93981396137753e-06
6.36363636363636e-01 1.93981558933233e-06
6.56565656565657e-01 1.93981633061949e-06
6.76767676767677e-01 1.93981666816367e-06
6.96969696969697e-01 1.93981682186415e-06
7.17171717171717e-01 1.93981689185172e-06
7.37373737373737e-01 1.93981692372074e-06
7.57575757575758e-01 1.93981693823253e-06
7.77777777777778e-01 1.93981694484070e-06
7.97979797979798e-01 1.93981694784995e-06
8.18181818181818e-01 1.93981694922041e-06
8.38383838383838e-01 1.93981694984464e-06
8.58585858585859e-01 1.93981695012904e-06
8.78787878787879e-01 1.93981695025868e-06
8.98989898989899e-01 1.93981695031784e-06
9.19191919191919e-01 1.93981695034489e-06
9.39393939393939e-01 1.93981695035730e-06
9.59595959595960e-01 1.93981695036304e-06
9.79797979797980e-01 1.93981695036572e-06
1.00000000000000e+00 1.93981695036699e-06
